State,Campaign name,Country,Status,Type,Targeting,Retailer,Portfolio name,Campaign bid strategy,Campaign start date,Campaign end date,Campaign budget amount (converted),Campaign budget amount,Cost type,Impressions,Top-of-search impression share,Top-of-search bid adjustment,Clicks,CTR,Total cost (converted),Total cost,CPC (converted),CPC,Detail page views,Purchases,Sales (converted),Sales,ACOS,ROAS,Purchases (new to brand),Percent of purchases new to brand,Sales (new to brand) (converted),Sales (new to brand),Percent of sales new to brand,Long-term sales (converted),Long-term sales,Long-term ROAS,User reach,Viewable impressions,CPM (converted),CPM,Viewable CPM (vCPM) (converted),Viewable CPM (vCPM),First quartile (video ad),Midpoint (video ad),Third quartile (video ad),Complete views (video ad),Unmutes (video ad),Viewable distribution,Viewable CTR (vCTR),Avg. time in budget,Brand Store page views
ENABLED,Pre 2024 Lottery - all shirts,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Rule Based Bidding,01/21/2022,,$4.00,$4.00,CPC,24032,<5%,0.17,138,0.0057,$36.23,$36.23,$0.26,$0.26,0,4,$66.72,$66.72,0.5430,1.8415677615235992,0,0,$0.00,$0.00,0,$0.00,$82.48,0,,0,$1.51,$1.51,$0.00,$0.00,0,0,0,0,0,0,0.0057,99.8451278659612,0
ENABLED,ALL shirts 2026 lottery,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Rule Based Bidding,04/06/2026,,$6.00,$6.00,CPC,12401,<5%,0.05,82,0.0066,$29.39,$29.39,$0.36,$0.36,0,6,$86.88,$86.88,0.3383,2.956107519564478,0,0,$0.00,$0.00,0,$0.00,$116.42,0,,0,$2.37,$2.37,$0.00,$0.00,0,0,0,0,0,0,0.0066,100,0
ENABLED,2024 Lottery Campaign - after numbers,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Rule Based Bidding,04/24/2024,,$4.00,$4.00,CPC,9542,<5%,0.22,145,0.0152,$14.99,$14.99,$0.10,$0.10,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,0,$1.57,$1.57,$0.00,$0.00,0,0,0,0,0,0,0.0152,100,0
ENABLED,ES - All Shirts Lottery,Spain,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Rule Based Bidding,01/04/2025,,$4.66,€4.00,CPC,21282,<5%,0.08,84,0.0039,$14.72,€12.63,$0.18,€0.15,0,1,$18.78,€16.11,0.7840,1.275534441805226,0,0,$0.00,€0.00,0,$0.00,€28.86,0,,0,$0.69,€0.59,$0.00,€0.00,0,0,0,0,0,0,0.0039,100,0
ENABLED,Medic BACK - 1 ASIN - auto,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Rule Based Bidding,03/29/2025,,$3.00,$3.00,CPC,7517,<5%,0.21,23,0.0031,$9.88,$9.88,$0.43,$0.43,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$15.82,0,,0,$1.31,$1.31,$0.00,$0.00,0,0,0,0,0,0,0.0031,100,0
ENABLED,1 ASIN - Samurai - auto,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Rule Based Bidding,01/29/2025,,$3.00,$3.00,CPC,1847,<5%,0.27,18,0.0097,$5.47,$5.47,$0.30,$0.30,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,0,$2.96,$2.96,$0.00,$0.00,0,0,0,0,0,0,0.0097,100,0
ENABLED,2026 1 ASIN - xtian hate love - auto,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Rule Based Bidding,02/08/2026,,$4.00,$4.00,CPC,4226,<5%,0.31,26,0.0062,$4.96,$4.96,$0.19,$0.19,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,0,$1.17,$1.17,$0.00,$0.00,0,0,0,0,0,0,0.0062,100,0
ENABLED,End Qualified immunity v2 - 1 ASIN - auto - 5/2025,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Rule Based Bidding,05/26/2025,,$3.00,$3.00,CPC,843,<5%,0.33,9,0.0107,$3.83,$3.83,$0.43,$0.43,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$31.71,0,,0,$4.54,$4.54,$0.00,$0.00,0,0,0,0,0,0,0.0107,100,0
ENABLED,2026 - 1 ASIN - coffee and contemplation - auto,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Dynamic bidding (up and down),02/08/2026,,$4.00,$4.00,CPC,1568,<5%,0.30,13,0.0083,$3.73,$3.73,$0.29,$0.29,0,1,$19.98,$19.98,0.1867,5.3565683646112605,0,0,$0.00,$0.00,0,$0.00,$36.47,0,,0,$2.38,$2.38,$0.00,$0.00,0,0,0,0,0,0,0.0083,100,0
ENABLED,FR - All Shirts Lottery,France,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Rule Based Bidding,01/04/2025,,$4.66,€4.00,CPC,5860,<5%,0.04,17,0.0029,$2.56,€2.20,$0.15,€0.13,0,2,$37.86,€32.48,0.0677,14.763636363636362,0,0,$0.00,€0.00,0,$0.00,€37.49,0,,0,$0.44,€0.38,$0.00,€0.00,0,0,0,0,0,0,0.0029,100,0
ENABLED,Ghost Pillow - LOOSE MATCH - 1 ASIN,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Dynamic bidding (down only),08/22/2023,,$3.00,$3.00,CPC,579,<5%,0.25,3,0.0052,$1.93,$1.93,$0.64,$0.64,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,0,$3.33,$3.33,$0.00,$0.00,0,0,0,0,0,0,0.0052,100,0
ENABLED,Dumb but tough - 5/26/2022 04:12:07,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Rule Based Bidding,05/26/2022,,$3.00,$3.00,CPC,1167,<5%,0.09,4,0.0034,$1.84,$1.84,$0.46,$0.46,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,0,$1.58,$1.58,$0.00,$0.00,0,0,0,0,0,0,0.0034,100,0
ENABLED,2026 - 1 ASIN - I heart Echocardiography echo - auto,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Rule Based Bidding,02/08/2026,,$4.00,$4.00,CPC,373,<5%,0.25,3,0.0080,$1.06,$1.06,$0.35,$0.35,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,0,$2.84,$2.84,$0.00,$0.00,0,0,0,0,0,0,0.0080,100,0
ENABLED,No Kings 2025 from Lotto | Auto,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Rule Based Bidding,04/28/2025,,$60.00,$60.00,CPC,738,<5%,0.24,4,0.0054,$0.97,$0.97,$0.24,$0.24,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,0,$1.31,$1.31,$0.00,$0.00,0,0,0,0,0,0,0.0054,100,0
ENABLED,Ops Team PREMIUM - 1 ASIN - auto,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Dynamic bidding (up and down),05/05/2025,,$4.00,$4.00,CPC,388,<5%,0.25,2,0.0052,$0.82,$0.82,$0.41,$0.41,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$16.51,0,,0,$2.11,$2.11,$0.00,$0.00,0,0,0,0,0,0,0.0052,100,0
ENABLED,"Dumb, but tough - SUBSTITUTES - 1 ASIN",United Kingdom,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Dynamic bidding (down only),08/15/2023,,$4.03,£3.00,CPC,542,0,0.25,2,0.0037,$0.75,£0.56,$0.38,£0.28,0,0,$0.00,£0.00,0,0,0,0,$0.00,£0.00,0,$0.00,£0.00,0,,0,$1.39,£1.03,$0.00,£0.00,0,0,0,0,0,0,0.0037,100,0
ENABLED,2025 - 1 ASIN - Alligator HOODIE,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Dynamic bidding (up and down),02/28/2025,,$3.00,$3.00,CPC,67,<5%,0.28,1,0.0149,$0.48,$0.48,$0.48,$0.48,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,0,$7.16,$7.16,$0.00,$0.00,0,0,0,0,0,0,0.0149,100,0
ENABLED,"Dumb, but tough - LOOSE MATCH - 1 ASIN",United Kingdom,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Dynamic bidding (down only),08/15/2023,,$4.03,£3.00,CPC,806,<5%,0.23,1,0.0012,$0.47,£0.35,$0.47,£0.35,0,0,$0.00,£0.00,0,0,0,0,$0.00,£0.00,0,$0.00,£0.00,0,,0,$0.58,£0.43,$0.00,£0.00,0,0,0,0,0,0,0.0012,100,0
ENABLED,ASIN - Mediocrates - 1 design campaign,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Rule Based Bidding,02/17/2022,,$4.00,$4.00,CPC,406,<5%,0.32,3,0.0074,$0.45,$0.45,$0.15,$0.15,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,0,$1.11,$1.11,$0.00,$0.00,0,0,0,0,0,0,0.0074,100,0
ENABLED,ASIN - Save the Bees Hoodie - 2/24/2022 16:56:52,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Rule Based Bidding,02/24/2022,,$2.00,$2.00,CPC,792,<5%,0.34,1,0.0013,$0.30,$0.30,$0.30,$0.30,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,0,$0.38,$0.38,$0.00,$0.00,0,0,0,0,0,0,0.0013,100,0
ENABLED,BBQ 1 ASIN 2025 | Auto,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Dynamic bidding (down only),06/24/2025,,$3.00,$3.00,CPC,32,0,0.25,1,0.0313,$0.23,$0.23,$0.23,$0.23,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,0,$7.19,$7.19,$0.00,$0.00,0,0,0,0,0,0,0.0313,100,0
